INFO:root:Parameters: s_cones_init=1.0 m_cones_init=774.8947368421053, max_probability=0.01, grid_size=45, Variance: 200.49212414817072
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=774.8947368421053, max_probability=2.5075, grid_size=45, Variance: 421.7122997276586
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=774.8947368421053, max_probability=5.005, grid_size=45, Variance: 11375.78992503497
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=774.8947368421053, max_probability=7.5024999999999995, grid_size=45, Variance: 2000.4327346174623
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=774.8947368421053, max_probability=10.0, grid_size=45, Variance: 643.6914699189758
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=823.2631578947369, max_probability=0.01, grid_size=45, Variance: 3400.343528424335
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=823.2631578947369, max_probability=2.5075, grid_size=45, Variance: 1177.9508831561534
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=823.2631578947369, max_probability=5.005, grid_size=45, Variance: 575.9910993128146
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=823.2631578947369, max_probability=7.5024999999999995, grid_size=45, Variance: 563.1612800640797
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=823.2631578947369, max_probability=10.0, grid_size=45, Variance: 236.77913400019798
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=871.6315789473684, max_probability=0.01, grid_size=45, Variance: 254.62985540445206
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=871.6315789473684, max_probability=2.5075, grid_size=45, Variance: 492.2353549792595
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=871.6315789473684, max_probability=5.005, grid_size=45, Variance: 2399.839878431264
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=871.6315789473684, max_probability=7.5024999999999995, grid_size=45, Variance: 15919.102997874996
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=871.6315789473684, max_probability=10.0, grid_size=45, Variance: 95.05196122041639
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=920.0, max_probability=0.01, grid_size=45, Variance: 792.459621305629
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=920.0, max_probability=2.5075, grid_size=45, Variance: 3037.987608730795
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=920.0, max_probability=5.005, grid_size=45, Variance: 535.5380025375254
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=920.0, max_probability=7.5024999999999995, grid_size=45, Variance: 152.66949021479508
