INFO:root:Parameters: birth_rate=0.7 a=63.25, m=20.000333333333334 c=9.0, init_mode=random, grid_size=45, Variance: 356.67992998451234
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=20.000333333333334 c=17.0, init_mode=random, grid_size=45, Variance: 187.48791910261357
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=20.000333333333334 c=25.0, init_mode=random, grid_size=45, Variance: 1205.1639433712267
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=23.333555555555556 c=1.0, init_mode=random, grid_size=45, Variance: 1.1459194666223702e+28
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=23.333555555555556 c=9.0, init_mode=random, grid_size=45, Variance: 102.08842383986683
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=23.333555555555556 c=17.0, init_mode=random, grid_size=45, Variance: 1.0850420594291653e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=23.333555555555556 c=25.0, init_mode=random, grid_size=45, Variance: 236.3898872260445
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=26.666777777777778 c=1.0, init_mode=random, grid_size=45, Variance: 3.0523097092296733e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=26.666777777777778 c=9.0, init_mode=random, grid_size=45, Variance: 1.127701973963029e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=26.666777777777778 c=17.0, init_mode=random, grid_size=45, Variance: 165.9822329039106
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=26.666777777777778 c=25.0, init_mode=random, grid_size=45, Variance: 6.687334536221218e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=30.0 c=1.0, init_mode=random, grid_size=45, Variance: 39030.34083352872
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=30.0 c=9.0, init_mode=random, grid_size=45, Variance: 739.5624155907573
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=30.0 c=17.0, init_mode=random, grid_size=45, Variance: 1.7529400402546993e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=30.0 c=25.0, init_mode=random, grid_size=45, Variance: 8.656494025949086e+28
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=0.001 c=1.0, init_mode=random, grid_size=45, Variance: 404.8225482838212
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=0.001 c=9.0, init_mode=random, grid_size=45, Variance: 2.5242336579667445e+28
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=0.001 c=17.0, init_mode=random, grid_size=45, Variance: 118.2403105888534
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=0.001 c=25.0, init_mode=random, grid_size=45, Variance: 365.1373917584461
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=3.334222222222222 c=1.0, init_mode=random, grid_size=45, Variance: 1408.8156084358147
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=3.334222222222222 c=9.0, init_mode=random, grid_size=45, Variance: 665.8547940492498
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=3.334222222222222 c=17.0, init_mode=random, grid_size=45, Variance: 1.0625951172708981e+30
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=3.334222222222222 c=25.0, init_mode=random, grid_size=45, Variance: 44576.65856688479
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=6.6674444444444445 c=1.0, init_mode=random, grid_size=45, Variance: 1071.6387763048472
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=6.6674444444444445 c=9.0, init_mode=random, grid_size=45, Variance: 1.883753575397861e+29
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=6.6674444444444445 c=17.0, init_mode=random, grid_size=45, Variance: 3.1247941460145867e+30
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=6.6674444444444445 c=25.0, init_mode=random, grid_size=45, Variance: 507.9913735385564
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=10.000666666666666 c=1.0, init_mode=random, grid_size=45, Variance: 169.61596655940536
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=10.000666666666666 c=9.0, init_mode=random, grid_size=45, Variance: 146.76615265876407
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=10.000666666666666 c=17.0, init_mode=random, grid_size=45, Variance: 2533.495677531058
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=10.000666666666666 c=25.0, init_mode=random, grid_size=45, Variance: 200.5954822258865
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=13.333888888888888 c=1.0, init_mode=random, grid_size=45, Variance: 804.9609808350652
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=13.333888888888888 c=9.0, init_mode=random, grid_size=45, Variance: 1.358692661412506e+28
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=13.333888888888888 c=17.0, init_mode=random, grid_size=45, Variance: 890.4161970012603
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=13.333888888888888 c=25.0, init_mode=random, grid_size=45, Variance: 437.20035408095623
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=16.66711111111111 c=1.0, init_mode=random, grid_size=45, Variance: 736.5714509640063
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=16.66711111111111 c=9.0, init_mode=random, grid_size=45, Variance: 2.9546563139535054e+30
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=16.66711111111111 c=17.0, init_mode=random, grid_size=45, Variance: 2.6156817572573824e+30
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=16.66711111111111 c=25.0, init_mode=random, grid_size=45, Variance: 9085.157658791688
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=20.000333333333334 c=1.0, init_mode=random, grid_size=45, Variance: 556.6765538681501
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=20.000333333333334 c=9.0, init_mode=random, grid_size=45, Variance: 1157.0366969916602
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=20.000333333333334 c=17.0, init_mode=random, grid_size=45, Variance: 257.42920995557887
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=20.000333333333334 c=25.0, init_mode=random, grid_size=45, Variance: 936.2585301835899
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=23.333555555555556 c=1.0, init_mode=random, grid_size=45, Variance: 482.5868446260656
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=23.333555555555556 c=9.0, init_mode=random, grid_size=45, Variance: 766.8702815636984
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=23.333555555555556 c=17.0, init_mode=random, grid_size=45, Variance: 1681.2685439214836
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=23.333555555555556 c=25.0, init_mode=random, grid_size=45, Variance: 2.992930870507762e+30
